,song_id,song,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo
57,57,Poker Face,0.851,0.806,4.0,0.0786,0.12,1.33e-06,0.121,0.776,119.001
58,58,It Must Be Love,0.536,0.606,7.0,0.0355,0.103,1.08e-05,0.255,0.719,146.425
59,59,The Wild Colonial Boy,0.448,0.312,1.0,0.0552,0.84,3.8e-06,0.0848,0.403,158.27
60,60,You Talk Too Much,0.719,0.639,8.0,0.0376,0.797,1.43e-05,0.075,0.727,128.272
61,61,Can't Get Enough Of You Baby,0.662,0.891,6.0,0.0291,0.0128,0.0,0.448,0.823,123.728
62,62,One In A Million,0.748,0.551,5.0,0.0907,0.327,1.43e-05,0.096,0.334,104.175
63,63,Life Is A Highway,0.683,0.751,5.0,0.0346,0.0681,8.36e-06,0.248,0.841,103.036
64,64,IDGAF,0.836,0.544,7.0,0.0943,0.0403,0.0,0.0824,0.51,97.028
65,65,As Long as You Love Me,0.804,0.801,0.0,0.0305,0.275,3.29e-05,0.215,0.826,98.12
66,66,Come & Get It,0.349,0.795,7.0,0.0758,0.0102,0.000138,0.0812,0.542,148.985
67,67,Temperature,0.951,0.6,0.0,0.0685,0.106,0.0,0.0712,0.822,125.04
68,68,Philadelphia Freedom,0.702,0.626,0.0,0.0298,0.0744,2e-05,0.072,0.799,125.199
69,69,Who Dat Girl (feat. Akon),0.719,0.616,1.0,0.0395,0.00683,3.11e-05,0.0742,0.625,124.963
70,70,True Colours,0.704,0.247,0.0,0.0297,0.64,1.72e-06,0.085,0.236,86.952
71,71,Set Adrift On Memory Bliss,0.737,0.784,7.0,0.0777,0.00682,0.2,0.537,0.587,99.773
72,72,Don't You Worry Child,0.632,0.88,2.0,0.0463,0.0144,0.0021,0.118,0.338,129.007
73,73,Colors Of The Wind - End Title,0.574,0.238,7.0,0.0476,0.365,1.32e-05,0.126,0.126,84.018
74,74,Beneath Your Beautiful (feat. Emeli Sandé),0.561,0.522,2.0,0.0318,0.227,0.0,0.104,0.238,83.962
75,75,Wouldn't It Be Nice,0.392,0.629,5.0,0.0335,0.718,3.76e-06,0.129,0.72,124.511
76,76,Together,0.521,0.877,7.0,0.0683,0.0132,0.0806,0.0929,0.199,180.007
77,77,Sweat - Remix,0.813,0.732,7.0,0.03,0.0597,0.00137,0.0826,0.731,130.02
78,78,True - Single Edit,0.742,0.533,0.0,0.0288,0.459,0.148,0.064,0.391,97.395
79,79,One,0.464,0.321,2.0,0.0418,0.877,0.0,0.0789,0.306,93.528
80,80,Stay,0.69,0.622,5.0,0.0622,0.253,0.0,0.116,0.544,102.04
81,81,Oh My Goodness,0.638,0.803,8.0,0.0681,0.0244,0.0,0.169,0.756,128.035
82,82,Titanium (feat. Sia),0.604,0.788,0.0,0.103,0.0678,0.153,0.127,0.301,126.06
83,83,Dream Girl,0.617,0.658,0.0,0.0512,0.494,0.0,0.293,0.949,128.363
84,84,View From a Bridge,0.593,0.834,2.0,0.0353,0.0486,0.000584,0.115,0.813,148.719
85,85,Wrapped Up (feat. Travie McCoy),0.787,0.848,1.0,0.0549,0.0915,0.0,0.15,0.947,121.989
86,86,you broke me first,0.667,0.373,4.0,0.05,0.785,0.0,0.0906,0.0823,124.148
87,87,Like It Like That,0.585,0.973,2.0,0.0733,0.00676,5.21e-05,0.262,0.958,161.05
88,88,No Pressure,0.644,0.595,1.0,0.215,0.121,0.0,0.279,0.554,148.889
89,89,I Wanna Be With You,0.515,0.908,8.0,0.0368,0.0158,1.88e-05,0.412,0.637,150.031
90,90,I'm In Control,0.725,0.844,11.0,0.0347,0.363,0.000716,0.125,0.711,104.001
91,91,Can't Remember to Forget You,0.694,0.81,11.0,0.0661,0.122,0.0,0.141,0.824,137.968
92,92,"It Ain't Me, Babe (with June Carter Cash)",0.634,0.587,2.0,0.03,0.271,0.0,0.165,0.623,105.642
93,93,Forever Young,0.379,0.664,11.0,0.0307,0.0167,0.000679,0.0915,0.301,115.272
94,94,It's Too Late,0.45,0.442,9.0,0.0353,0.493,0.00564,0.134,0.812,208.282
95,95,Billionaire (feat. Bruno Mars),0.633,0.673,6.0,0.258,0.297,0.0,0.206,0.659,86.776
96,96,Star Wars Theme/Cantina Band,0.677,0.915,0.0,0.0912,0.00121,0.916,0.322,0.545,124.929
97,97,Jump In My Car,0.769,0.721,2.0,0.109,0.488,1.09e-06,0.316,0.857,123.057
98,98,Safe And Sound,0.653,0.822,0.0,0.033,0.00021,0.0047,0.0838,0.762,117.949
99,99,Witchcraft,0.42,0.969,1.0,0.0581,2.84e-05,0.00861,0.379,0.182,174.038
100,100,'74-'75,0.53,0.59,11.0,0.025,0.183,0.00227,0.0675,0.43,144.202
