song_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,kmeans_labels,agglo_labels,gaussian_labels
0,0.6244939271255061,0.8746213187690782,0.06751054852320675,0.015940790473208972,0.11370558375634517,0.40532241555783005,0.5065326633165829,0.5114793518514269,2,8,9
1,0.8350202429149797,0.745230519738767,0.20956399437412096,0.0143262552647975,2.152284263959391e-05,0.23029682702149434,0.8040201005025125,0.5830078976472262,8,6,6
2,0.6852226720647774,0.6669942226506718,0.04289732770745429,0.5650845782341604,1.0253807106598985e-06,0.33367451381780966,0.7095477386934672,0.34408686035252595,3,0,1
3,0.6912955465587045,0.7301850779910564,0.36427566807313644,0.5731572542762176,5.1573604060913705e-05,0.027021494370522002,0.8371859296482411,0.3456012261774194,3,0,5
4,0.3228744939271255,0.6288791035564716,0.09662447257383966,0.6811292963387348,7.401015228426395e-05,0.2835209825997953,0.49949748743718586,0.39381771624455625,0,5,5
5,0.6791497975708503,0.7121305478938036,0.05007032348804501,0.03965427634675244,1.1370558375634517e-05,0.027328556806550663,0.8381909547738693,0.5449193026574826,8,0,2
6,0.5668016194331984,0.6820396643983825,0.45147679324894513,0.5600391557078744,0.0,0.10644831115660183,0.32060301507537686,0.4102141680395387,7,1,7
7,0.48582995951417,0.6298821330063189,0.03684950773558369,0.17557795920489305,3.32994923857868e-05,0.06479017400204709,0.543718592964824,0.6581158535745917,4,8,4
8,0.36133603238866396,0.6549578692525033,0.0919831223628692,0.08354945232543928,0.0,0.07410440122824974,0.5246231155778894,0.8106308480907517,6,3,6
9,0.5688259109311742,0.6830426938482298,0.12250351617440225,0.11402380438420578,0.0,0.10030706243602866,0.35879396984924616,0.6794638227182407,6,1,6
10,0.8623481781376519,0.876627377668773,0.06005625879043601,0.016949874978466138,0.45685279187817257,0.12384851586489251,0.6693467336683416,0.5921124485459792,5,4,9
11,0.5637651821862348,0.5345943352708185,0.035443037974683546,0.04964421294879841,0.0,0.1975435005117707,0.23417085427135678,0.6607866442112218,7,2,1
12,0.2631578947368421,0.6609760459515875,0.08790436005625879,0.11503288888946296,2.99492385786802e-05,0.4984646878198567,0.5396984924623115,0.8461174872540875,2,7,5
13,0.659919028340081,0.3731065938453912,0.04514767932489451,0.06962408615289035,0.00019999999999999998,0.08219037871033777,0.2844221105527638,0.51389315919656,7,2,4
14,0.8279352226720648,0.6720093698999087,0.06638537271448663,0.30675894488832506,1.2385786802030455e-06,0.04923234390992835,0.943718592964824,0.5506234139312477,8,0,1
15,0.6123481781376519,0.7331941663405984,0.05035161744022503,0.24217753655186622,0.000465989847715736,0.2507676560900717,0.6412060301507537,0.565968987623501,4,0,1
16,0.8228744939271254,0.7562638436870881,0.06947960618846695,0.16750528316283572,0.0,0.11156601842374617,0.9276381909547738,0.5183811888230624,8,6,2
17,0.4888663967611336,0.5345943352708185,0.2039381153305204,0.8123102820221667,0.0,0.1525076765609007,0.8824120603015074,0.6429630173509612,3,9,5
18,0.7449392712550608,0.5646852187662396,0.043881856540084384,0.01664714962688899,0.0,0.15762538382804503,0.9648241206030149,0.4681730782468232,8,0,2
19,0.6447368421052632,0.41723988963867564,0.03783403656821378,0.437939930571757,0.0,0.1299897645854657,0.5909547738693467,0.6696342118184779,3,0,4
20,0.6558704453441295,0.9388152035593101,0.1120956399437412,0.09898844525587397,2.2741116751269034e-05,0.06059365404298874,0.8603015075376883,0.47391390141937373,1,6,2
21,0.26417004048583,0.302894532356075,0.04767932489451477,0.7759832398329086,2.609137055837563e-06,0.0760491299897646,0.08874371859296482,0.373626171912644,0,5,3
22,0.6751012145748988,0.661979075401435,0.04894514767932489,0.11806014240523446,0.000867005076142132,0.06008188331627431,0.9095477386934673,0.6143139693363864,8,0,4
23,0.3684210526315789,0.6078154851096766,0.11687763713080168,0.07547677628338194,0.0003269035532994924,0.0962128966223132,0.2904522613065326,0.4576597082321844,7,3,6
